工况 0: 到达 False 违规 0 弯道超速 0 end_x 1555.7 时间 600.0 停车时长 519.0
62 x 679 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.03, 132) 灯 (0.03, 83) 终 (0.06, 44) 解 (0.03, 88) | 感知 unknown 真绿 False 目标 [] fb False
63 x 690 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.05, 186) 灯 (0.03, 61) 终 (0.03, 39) 解 (0.04, 112) | 感知 unknown 真绿 False 目标 [] fb False
64 x 701 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.06, 150) 灯 (0.04, 65) 终 (0.04, 37) 解 (0.05, 95) | 感知 unknown 真绿 False 目标 [] fb False
65 x 712 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.1, 130) 灯 (0.03, 60) 终 (0.03, 36) 解 (0.02, 95) | 感知 unknown 真绿 False 目标 [] fb False
66 x 723 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.06, 129) 灯 (0.04, 75) 终 (0.12, 54) 解 (0.03, 62) | 感知 unknown 真绿 False 目标 [] fb False
67 x 734 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.98, 320) 灯 (0.02, 49) 终 (0.05, 50) 解 (0.02, 75) | 感知 unknown 真绿 False 目标 [] fb False
68 x 745 v 22.2 vlim 22.2 | 弯 d 727.47 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.96, 327) 灯 (0.02, 40) 终 (0.04, 42) 解 (0.04, 97) | 感知 unknown 真绿 False 目标 [(1346, 9.722222222222221)] fb False
69 x 757 v 22.2 vlim 22.2 | 弯 d 709.81 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.99, 300) 灯 (0.03, 66) 终 (0.05, 58) 解 (0.03, 93) | 感知 unknown 真绿 False 目标 [(1342, 9.722222222222221)] fb False
70 x 768 v 22.2 vlim 22.2 | 弯 d 697.12 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (1.0, 295) 灯 (0.02, 53) 终 (0.08, 56) 解 (0.03, 56) | 感知 unknown 真绿 False 目标 [(1342, 9.722222222222221)] fb False
71 x 779 v 22.2 vlim 22.2 | 弯 d 685.95 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (1.0, 286) 灯 (0.02, 48) 终 (0.07, 48) 解 (0.03, 102) | 感知 unknown 真绿 False 目标 [(1344, 9.722222222222221)] fb False
72 x 790 v 22.2 vlim 22.2 | 弯 d 674.08 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (1.0, 273) 灯 (0.02, 41) 终 (0.05, 43) 解 (0.05, 273) | 感知 unknown 真绿 False 目标 [(1345, 9.722222222222221)] fb False
73 x 801 v 22.2 vlim 22.2 | 弯 d 669.79 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (1.0, 280) 灯 (0.03, 102) 终 (0.07, 47) 解 (0.02, 74) | 感知 unknown 真绿 False 目标 [(1352, 9.722222222222221)] fb False
74 x 812 v 22.2 vlim 22.2 | 弯 d 651.1 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (1.0, 240) 灯 (0.03, 14) 终 (0.06, 46) 解 (0.03, 63) | 感知 unknown 真绿 False 目标 [(1348, 9.722222222222221)] fb False
