工况 2: 到达 False 违规 1 弯道超速 0 end_x 3000.3 时间 153.5 停车时长 0.0
47 x 512 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.1, 126) 灯 (0.02, 63) 终 (0.03, 90) 解 (0.04, 80) | 感知 unknown 真绿 False 目标 [] fb False
48 x 523 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 143) 灯 (0.03, 65) 终 (0.08, 116) 解 (0.04, 94) | 感知 unknown 真绿 False 目标 [] fb False
49 x 534 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 140) 灯 (0.03, 70) 终 (0.08, 116) 解 (0.03, 94) | 感知 unknown 真绿 False 目标 [] fb False
50 x 545 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.08, 133) 灯 (0.03, 63) 终 (0.04, 94) 解 (0.03, 89) | 感知 unknown 真绿 False 目标 [] fb False
51 x 557 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.1, 141) 灯 (0.03, 69) 终 (0.05, 105) 解 (0.03, 94) | 感知 unknown 真绿 False 目标 [] fb False
52 x 568 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 134) 灯 (0.03, 68) 终 (0.04, 98) 解 (0.04, 90) | 感知 unknown 真绿 False 目标 [] fb False
53 x 579 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.08, 129) 灯 (0.03, 62) 终 (0.04, 93) 解 (0.03, 95) | 感知 unknown 真绿 False 目标 [] fb False
54 x 590 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.1, 138) 灯 (0.02, 66) 终 (0.06, 99) 解 (0.03, 96) | 感知 unknown 真绿 False 目标 [] fb False
55 x 601 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 140) 灯 (0.03, 64) 终 (0.05, 90) 解 (0.03, 88) | 感知 unknown 真绿 False 目标 [] fb False
56 x 612 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.12, 124) 灯 (0.02, 60) 终 (0.05, 103) 解 (0.03, 85) | 感知 unknown 真绿 False 目标 [] fb False
57 x 623 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.11, 145) 灯 (0.02, 67) 终 (0.03, 89) 解 (0.03, 96) | 感知 unknown 真绿 False 目标 [] fb False
58 x 634 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.11, 138) 灯 (0.03, 67) 终 (0.04, 89) 解 (0.03, 91) | 感知 unknown 真绿 False 目标 [] fb False
59 x 645 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.1, 136) 灯 (0.03, 66) 终 (0.05, 93) 解 (0.04, 84) | 感知 unknown 真绿 False 目标 [] fb False
60 x 657 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.07, 138) 灯 (0.03, 68) 终 (0.04, 102) 解 (0.03, 96) | 感知 unknown 真绿 True 目标 [] fb False
61 x 668 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.07, 135) 灯 (0.03, 64) 终 (0.03, 92) 解 (0.03, 90) | 感知 unknown 真绿 True 目标 [] fb False
62 x 679 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.06, 148) 灯 (0.03, 69) 终 (0.08, 127) 解 (0.04, 90) | 感知 unknown 真绿 True 目标 [] fb False
63 x 690 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.11, 141) 灯 (0.03, 65) 终 (0.04, 93) 解 (0.03, 94) | 感知 unknown 真绿 True 目标 [] fb False
64 x 701 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 126) 灯 (0.02, 60) 终 (0.05, 90) 解 (0.04, 91) | 感知 unknown 真绿 True 目标 [] fb False
65 x 712 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.07, 138) 灯 (0.02, 64) 终 (0.05, 103) 解 (0.03, 93) | 感知 unknown 真绿 True 目标 [] fb False
66 x 723 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.08, 127) 灯 (0.02, 60) 终 (0.05, 97) 解 (0.03, 95) | 感知 unknown 真绿 True 目标 [] fb False
67 x 734 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.88, 259) 灯 (0.03, 93) 终 (0.06, 102) 解 (0.03, 88) | 感知 unknown 真绿 True 目标 [] fb False
68 x 745 v 22.2 vlim 22.2 | 弯 d 665.89 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.88, 266) 灯 (0.03, 99) 终 (0.07, 109) 解 (0.03, 201) | 感知 unknown 真绿 True 目标 [(1288, 9.722222222222221)] fb False
69 x 757 v 22.2 vlim 22.2 | 弯 d 658.91 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.9, 265) 灯 (0.02, 102) 终 (0.03, 80) 解 (0.03, 87) | 感知 unknown 真绿 True 目标 [(1294, 9.722222222222221)] fb False
70 x 768 v 22.2 vlim 22.2 | 弯 d 655.52 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.97, 267) 灯 (0.03, 97) 终 (0.06, 100) 解 (0.04, 267) | 感知 unknown 真绿 True 目标 [(1302, 9.722222222222221)] fb False
71 x 779 v 22.2 vlim 22.2 | 弯 d 652.96 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.96, 266) 灯 (0.03, 91) 终 (0.04, 91) 解 (0.07, 266) | 感知 unknown 真绿 True 目标 [(1311, 9.722222222222221)] fb False
72 x 790 v 22.2 vlim 22.2 | 弯 d 649.48 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.97, 261) 灯 (0.03, 92) 终 (0.05, 92) 解 (0.06, 261) | 感知 unknown 真绿 True 目标 [(1319, 9.722222222222221)] fb False
73 x 801 v 22.2 vlim 22.2 | 弯 d 650.04 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.95, 268) 灯 (0.03, 96) 终 (0.06, 101) 解 (0.07, 207) | 感知 unknown 真绿 True 目标 [(1330, 9.722222222222221)] fb False
74 x 812 v 22.2 vlim 22.2 | 弯 d 637.14 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.99, 234) 灯 (0.04, 107) 终 (0.05, 84) 解 (0.03, 82) | 感知 unknown 真绿 True 目标 [(1331, 9.722222222222221)] fb False
75 x 823 v 22.2 vlim 22.2 | 弯 d 632.24 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.99, 242) 灯 (0.03, 106) 终 (0.04, 99) 解 (0.03, 95) | 感知 unknown 真绿 True 目标 [(1338, 9.722222222222221)] fb False
76 x 834 v 22.2 vlim 22.2 | 弯 d 619.82 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.97, 218) 灯 (0.03, 83) 终 (0.06, 96) 解 (0.04, 218) | 感知 unknown 真绿 True 目标 [(1338, 9.722222222222221)] fb False
77 x 845 v 22.2 vlim 22.2 | 弯 d 607.83 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.97, 207) 灯 (0.02, 80) 终 (0.07, 108) 解 (0.07, 207) | 感知 unknown 真绿 True 目标 [(1339, 9.722222222222221)] fb False
78 x 857 v 22.2 vlim 22.2 | 弯 d 598.02 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.98, 200) 灯 (0.02, 77) 终 (0.04, 91) 解 (0.07, 200) | 感知 unknown 真绿 True 目标 [(1342, 9.722222222222221)] fb False
79 x 868 v 22.2 vlim 22.2 | 弯 d 590.71 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.91, 196) 灯 (0.02, 74) 终 (0.07, 111) 解 (0.04, 150) | 感知 unknown 真绿 True 目标 [(1347, 9.722222222222221)] fb False
