tag,info,jerk,branch_id,target_m,t_entry_200,t_info,delay_actual_s,delay_distance_s,observed_delta_time_s,lp_reference_floor_s,lp_reference_ceil_s,lp_reference_interp_s,residual_floor_s,residual_ceil_s,residual_interp_s
v6_formal_v22,cons,4.0,ce4e63c8696c,67.0000000000002,138.39377169240686,145.0,6.606228307593142,5.718156866615124,1.7328559931596033,0.15349359580128855,0.36297086297086223,0.197998426942609,1.5793623973583146,1.3698851301887411,1.5348575662169943
v6_formal_v22,cons,2.0,cebd02a4155b,56.0000000000002,138.39377169240686,145.5,7.106228307593142,6.034847236963368,2.8352937229628594,0.6103052353052373,0.9696431303574159,0.6866489481961873,2.224988487657622,1.8656505926054434,2.148644774766672
v6_formal_v22,min,4.0,d4ffde2784bb,120.0000000000002,138.39377169240686,141.5,3.106228307593142,3.1062314138246103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v22,cons,3.0,d66ef96da80f,56.0000000000002,138.39377169240686,145.5,7.106228307593142,6.02968396948089,2.4148167883662666,0.45345773917202453,0.7687134417903665,0.520435898668491,1.961359049194242,1.6461033465759,1.8943808896977754
v6_formal_v22,min,2.0,d98ed0d58756,44.0000000000002,138.39377169240686,145.5,7.106228307593142,6.878632772262718,1.447240596113943,0.6103052353052373,0.9696431303574159,0.6866489481961873,0.8369353608087057,0.47759746575652706,0.7605916479177557
v6_formal_v22,cons,2.0,df7905b6de7d,78.0000000000002,138.39377169240686,144.0,5.606228307593142,5.0338708496444236,1.3031842293587772,0.008124065816372893,0.09597786383500657,0.026789186374671238,1.2950601635424044,1.2072063655237706,1.276395042984106
v6_formal_v22,min,4.0,e061d69efa56,78.0000000000002,138.39377169240686,143.5,5.106228307593142,5.106233413826646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v22,min,2.0,e56887fa3177,89.0000000000002,138.39377169240686,143.0,4.606228307593142,4.606232913826138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v22,cons,2.0,e5d69c191733,150.0000000000002,138.39377169240686,140.5,2.106228307593142,2.0781053856985636,0.1799999999999784,0.0,0.0,0.0,0.1799999999999784,0.1799999999999784,0.1799999999999784
v6_formal_v22,cons,2.0,ea5b8d6e5ad9,67.0000000000002,138.39377169240686,145.0,6.606228307593142,5.73058656623005,2.198975137922048,0.317181692181692,0.6103052353052373,0.3794577279851311,1.8817934457403558,1.5886699026168105,1.8195174099369167
v6_formal_v22,min,4.0,f2d5ce14f77d,89.0000000000002,138.39377169240686,143.0,4.606228307593142,4.606232913826138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v22,min,3.0,f3b549a01c62,89.0000000000002,138.39377169240686,143.0,4.606228307593142,4.606232913826138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v16,cons,2.0,05f530e3094a,150.0,144.35246068389878,147.0,2.6475393161012164,2.6475393161012164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v16,min,4.0,0f7396b914f1,150.0,144.35246068389878,147.0,2.6475393161012164,2.6475393161012164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v16,min,2.0,14fc630ad738,120.0,144.35246068389878,149.0,4.647539316101216,4.647539316101216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v16,min,3.0,15e224b4e117,56.0,144.35246068389878,153.0,8.647539316101216,8.646823656324528,0.0014313195533759426,0.0,0.0,0.0,0.0014313195533759426,0.0014313195533759426,0.0014313195533759426
v6_formal_v16,min,4.0,197bc488197e,32.0,144.35246068389878,155.0,10.647539316101216,10.323305064469423,0.9230083541557974,0.06026785714285765,0.26171875,0.11971171106310205,0.8627404970129398,0.6612896041557974,0.8032966430926953
v6_formal_v16,cons,4.0,1b74cb112d7d,78.0,144.35246068389878,151.5,7.147539316101216,7.13955434877488,0.01665980395796396,0.0,0.0,0.0,0.01665980395796396,0.01665980395796396,0.01665980395796396
v6_formal_v16,cons,3.0,1fa6f92f0664,100.0,144.35246068389878,150.5,6.147539316101216,6.147539316101216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v16,min,3.0,219a83430fac,78.0,144.35246068389878,151.5,7.147539316101216,7.147539316101216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v16,min,3.0,228f9235b5e6,32.0,144.35246068389878,155.0,10.647539316101216,10.320760676135677,1.0775441519004403,0.09895833333333215,0.3444852941176464,0.17140809309038796,0.9785858185671081,0.7330588577827939,0.9061360588100523
v6_formal_v16,cons,3.0,22e8fcf0dc83,120.0,144.35246068389878,149.0,4.647539316101216,4.647539316101216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v16,cons,3.0,2373c55608f8,89.0,144.35246068389878,151.0,6.647539316101216,6.647539316101216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v16,min,3.0,287ef3ca5d48,44.0,144.35246068389878,154.5,10.147539316101216,9.964785672157575,0.7526649260242664,0.005208333333332149,0.09895833333333215,0.032871955102310224,0.7474565926909342,0.6537065926909342,0.7197929709219562
v6_formal_v16,cons,3.0,28865b6cc5fb,44.0,144.35246068389878,154.5,10.147539316101216,9.53588584217323,1.0814456346440409,0.005208333333332149,0.09895833333333215,0.032871955102310224,1.0762373013107087,0.9824873013107087,1.0485736795417306
v6_formal_v16,min,4.0,34f8020dd22b,78.0,144.35246068389878,151.5,7.147539316101216,7.147539316101216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v16,min,2.0,3e7fa3c18e8a,100.0,144.35246068389878,150.5,6.147539316101216,6.147539316101216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v16,cons,4.0,40e828719f4f,56.0,144.35246068389878,153.5,9.147539316101216,8.85141386264948,0.6629500221889373,0.0,0.0,0.0,0.6629500221889373,0.6629500221889373,0.6629500221889373
v6_formal_v16,min,4.0,42e86da98e44,120.0,144.35246068389878,149.0,4.647539316101216,4.647539316101216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v16,cons,4.0,43f03157d368,44.0,144.35246068389878,154.5,10.147539316101216,9.53979209217323,0.9712896300738976,0.0,0.06026785714285765,0.017783756851486057,0.9712896300738976,0.9110217729310399,0.9535058732224115
v6_formal_v16,min,4.0,4c14cc2cc11b,44.0,144.35246068389878,154.5,10.147539316101216,9.966919619333396,0.611188804521845,0.0,0.06026785714285765,0.017783756851486057,0.611188804521845,0.5509209473789873,0.593405047670359
